Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Ford Mustang Mach-E SR AWD,68.0,6.3,180.0,330.0,206.0,360.0,All Wheel Drive,5,54000.0,46650.0,Ford,87235.5,2,4,2,1,3,2,5
Ford Mustang Mach-E ER AWD,88.0,5.8,180.0,420.0,210.0,410.0,All Wheel Drive,5,62900.0,57030.0,Ford,106646.1,2,5,2,1,3,2,4
Ford Mustang Mach-E GT,88.0,4.4,200.0,410.0,215.0,400.0,All Wheel Drive,5,,67225.0,Ford,125710.75,2,5,2,2,2,2,4
Audi e-tron Sportback 50 quattro,64.7,6.8,190.0,295.0,219.0,490.0,All Wheel Drive,5,71350.0,69100.0,Audi,129217.00000000001,2,4,2,2,2,2,4
Tesla Cybertruck Single Motor,100.0,7.0,180.0,390.0,256.0,740.0,Rear Wheel Drive,7,45000.0,39000.0,Tesla,72930.0,3,4,2,1,1,3,5
Tesla Cybertruck Dual Motor,120.0,5.0,190.0,460.0,261.0,710.0,All Wheel Drive,7,55000.0,48000.0,Tesla,89760.0,3,5,3,2,1,3,5
Tesla Cybertruck Tri Motor,200.0,3.0,210.0,750.0,267.0,710.0,All Wheel Drive,7,75000.0,68000.0,Tesla,127160.0,5,5,4,2,1,3,4
Lexus UX 300e,50.0,7.5,160.0,260.0,192.0,150.0,Front Wheel Drive,5,47550.0,43900.0,Lexus,82093.0,1,4,1,1,3,1,5
BMW i4 eDrive40,80.7,5.7,190.0,475.0,170.0,660.0,Rear Wheel Drive,5,58300.0,51905.0,BMW,97062.35,2,5,3,2,4,3,5
Aiways U5 ,63.0,7.5,150.0,335.0,188.0,350.0,Front Wheel Drive,5,35993.0,,Aiways,,2,4,2,1,3,2,
